employee_id,first_name,last_name,email,phone,hire_date,termination_date,store_id,job_title
2890,Sara,Kulkarni,sara.kulkarni@croma.in,+91-9024366175,2022-10-20,,10918,Assistant Manager
9515,Diya,Verma,diya.verma@croma.in,+91-7786535736,2024-07-12,2024-08-13,7576,Store Manager
3173,Ishaan,Mehta,ishaan.mehta@outlook.com,+91-6493899686,2018-10-16,2019-10-01,6768,Sales Associate
3805,Kiara,Sharma,kiara.sharma@croma.in,+91-9285084982,2019-10-24,,132,Cashier
8362,Aarav,Patel,aarav.patel@gmail.com,+91-9302810775,2025-07-12,,14400,Sales Associate
9089,Krishna,Khan,krishna.khan@outlook.com,+91-8001434435,2022-09-10,,2797,Cashier
9006,Myra,Singh,myra.singh@outlook.com,+91-6005596445,2025-05-16,,12514,Cashier
1733,Vivaan,Kulkarni,vivaan.kulkarni@yahoo.in,+91-8283793782,2020-12-18,,16690,Cashier
4959,Aadhya,Yadav,aadhya.yadav@gmail.com,+91-9295257882,2020-12-02,,2256,Inventory Executive
6332,Shaurya,Singh,shaurya.singh@outlook.com,+91-7806105721,2018-02-20,2023-05-13,9813,Sales Associate
9372,Aadhya,Yadav,aadhya.yadav@croma.in,+91-9158165571,2022-10-16,,5672,Inventory Executive
7849,Aisha,Shetty,aisha.shetty@outlook.com,+91-7005526311,2018-01-29,,10356,Cashier
8983,Pari,Singh,pari.singh@gmail.com,+91-6670060222,2019-02-06,,10690,Customer Support
10045,Arjun,Singh,arjun.singh@gmail.com,+91-9528488094,2025-07-22,,7128,Assistant Manager
11642,Kiara,Kulkarni,kiara.kulkarni@outlook.com,+91-6260888141,2021-12-15,2024-08-10,14841,Store Manager
5158,Vihaan,Patel,vihaan.patel@outlook.com,+91-8023869789,2022-10-22,,8720,Assistant Manager
319,Ishaan,Ghosh,ishaan.ghosh@outlook.com,+91-9648750616,2021-07-01,,1933,Visual Merchandiser
410,Krishna,Gupta,krishna.gupta@croma.in,+91-6162965950,2024-08-09,,1338,Sales Associate
8127,Rudra,Mehta,rudra.mehta@yahoo.in,+91-8257001946,2019-02-17,,14908,Assistant Manager
6719,Vihaan,Das,vihaan.das@yahoo.in,+91-7060003042,2024-05-25,,2528,Assistant Manager
1782,Myra,Reddy,myra.reddy@croma.in,+91-6308050621,2024-10-03,,15515,Customer Support
9885,Pari,Patel,pari.patel@gmail.com,+91-6122883411,2022-02-04,,7266,Inventory Executive
6622,Vihaan,Verma,vihaan.verma@yahoo.in,+91-9412378784,2025-01-24,,5906,Cashier
4583,Aisha,Yadav,aisha.yadav@croma.in,+91-8622052426,2021-05-22,2021-05-25,3974,Cashier
671,Shaurya,Reddy,shaurya.reddy@croma.in,+91-9135703163,2024-08-13,2024-12-03,10811,Assistant Manager
10960,Kiara,Ghosh,kiara.ghosh@outlook.com,+91-7762562251,2020-04-27,,10499,Inventory Executive
6751,Ananya,Das,ananya.das@croma.in,+91-7671523525,2019-07-24,,6146,Inventory Executive
5332,Sara,Gupta,sara.gupta@yahoo.in,+91-8775683963,2024-09-11,,16678,Customer Support
10235,Vihaan,Mehta,vihaan.mehta@outlook.com,+91-7739045985,2022-11-22,2025-08-01,3404,Visual Merchandiser
719,Ishaan,Das,ishaan.das@gmail.com,+91-8646059685,2021-11-23,2022-03-04,19543,Assistant Manager
7625,Rudra,Reddy,rudra.reddy@croma.in,+91-7368042587,2025-03-04,,15943,Visual Merchandiser
318,Anika,Mishra,anika.mishra@outlook.com,+91-6146214452,2025-04-29,,1280,Store Manager
7000,Rudra,Gupta,rudra.gupta@gmail.com,+91-6031755451,2022-12-25,,6072,Assistant Manager
3864,Aadhya,Verma,aadhya.verma@gmail.com,+91-7680706159,2025-05-24,,19760,Assistant Manager
842,Shaurya,Gowda,shaurya.gowda@croma.in,+91-8369939890,2025-07-05,2025-08-04,7589,Inventory Executive
2908,Krishna,Patel,krishna.patel@croma.in,+91-6349564774,2020-09-27,,17235,Inventory Executive
5519,Arjun,Kulkarni,arjun.kulkarni@yahoo.in,+91-9059527017,2021-07-01,,9661,Cashier
1593,Ishaan,Das,ishaan.das@croma.in,+91-8614790368,2024-08-01,2024-12-10,3090,Visual Merchandiser
487,Diya,Mishra,diya.mishra@gmail.com,+91-6464854495,2019-03-04,,19714,Customer Support
4658,Myra,Mishra,myra.mishra@croma.in,+91-9038410763,2019-04-06,,3881,Store Manager
2765,Anika,Ghosh,anika.ghosh@croma.in,+91-8881243981,2025-06-28,2025-07-26,14280,Inventory Executive
4653,Myra,Rao,myra.rao@outlook.com,+91-7369431932,2018-02-27,,20554,Cashier
11926,Shaurya,Verma,shaurya.verma@gmail.com,+91-9006644136,2022-01-04,,4205,Cashier
3130,Sai,Ghosh,sai.ghosh@gmail.com,+91-7854364093,2020-02-12,,6257,Assistant Manager
203,Ira,Bose,ira.bose@gmail.com,+91-9981899310,2022-08-11,,423,Assistant Manager
9920,Aditya,Yadav,aditya.yadav@yahoo.in,+91-9249415826,2024-06-06,,1293,Inventory Executive
11809,Krishna,Yadav,krishna.yadav@croma.in,+91-9803333066,2024-11-08,,4306,Store Manager
8447,Arjun,Das,arjun.das@croma.in,+91-7448754509,2018-07-22,,7243,Sales Associate
2026,Kiara,Verma,kiara.verma@outlook.com,+91-7212486957,2022-04-21,,8091,Cashier
10383,Vivaan,Gowda,vivaan.gowda@yahoo.in,+91-8845624915,2022-06-04,,16216,Cashier
6765,Myra,Mehta,myra.mehta@gmail.com,+91-6098416690,2022-10-04,,10796,Inventory Executive
1617,Sara,Patel,sara.patel@yahoo.in,+91-9240790768,2022-02-17,,20739,Cashier
1127,Pari,Chopra,pari.chopra@outlook.com,+91-9249741778,2024-08-16,,18628,Store Manager
11583,Aadhya,Reddy,aadhya.reddy@yahoo.in,+91-6517550052,2025-07-18,,19063,Cashier
11723,Diya,Gowda,diya.gowda@outlook.com,+91-8212503693,2021-03-12,,8150,Visual Merchandiser
8742,Anika,Bose,anika.bose@gmail.com,+91-8782319802,2021-08-16,,4467,Inventory Executive
8626,Ishaan,Das,ishaan.das@yahoo.in,+91-7157398213,2020-06-26,,10815,Sales Associate
1643,Sara,Reddy,sara.reddy@yahoo.in,+91-8944135287,2022-09-10,,272,Store Manager
7819,Aarav,Shetty,aarav.shetty@croma.in,+91-7176302905,2023-06-27,2024-06-19,16124,Visual Merchandiser
2914,Shaurya,Singh,shaurya.singh@gmail.com,+91-7174205566,2024-02-25,,5346,Store Manager
214,Anika,Yadav,anika.yadav@croma.in,+91-9700842945,2019-12-27,2022-09-06,18170,Inventory Executive
6526,Krishna,Mehta,krishna.mehta@gmail.com,+91-7640986943,2022-07-15,,6690,Assistant Manager
8471,Anika,Chopra,anika.chopra@yahoo.in,+91-7024371146,2019-04-29,2023-08-31,9256,Customer Support
9966,Diya,Bose,diya.bose@croma.in,+91-8374591883,2020-05-12,2020-08-14,5913,Inventory Executive
11192,Aditya,Bose,aditya.bose@croma.in,+91-6089624071,2022-07-26,,13336,Assistant Manager
7023,Aarav,Patel,aarav.patel@outlook.com,+91-7283791371,2024-07-13,2025-03-12,6213,Customer Support
4087,Vivaan,Iyer,vivaan.iyer@gmail.com,+91-6771070736,2022-03-04,,13742,Store Manager
3950,Shaurya,Chopra,shaurya.chopra@yahoo.in,+91-7445905092,2023-12-17,,15422,Sales Associate
5411,Sara,Sharma,sara.sharma@croma.in,+91-8220113008,2018-08-04,,16801,Store Manager
7947,Shaurya,Sharma,shaurya.sharma@croma.in,+91-6055621534,2019-07-29,,9863,Assistant Manager
2362,Myra,Mehta,myra.mehta@outlook.com,+91-9567629757,2022-07-07,2022-09-01,17635,Assistant Manager
4101,Myra,Shetty,myra.shetty@outlook.com,+91-8157669809,2023-02-05,,13922,Assistant Manager
2656,Aditya,Shetty,aditya.shetty@croma.in,+91-7184763729,2024-09-23,,20661,Assistant Manager
1054,Aarav,Reddy,aarav.reddy@outlook.com,+91-8803525058,2023-08-30,,11742,Assistant Manager
8195,Sai,Reddy,sai.reddy@outlook.com,+91-7567515615,2021-05-04,2024-12-31,9557,Assistant Manager
5338,Sai,Das,sai.das@outlook.com,+91-9748858259,2020-09-17,2022-11-21,6702,Assistant Manager
9524,Aisha,Shetty,aisha.shetty@yahoo.in,+91-9697634061,2019-01-24,,935,Visual Merchandiser
3778,Anika,Rao,anika.rao@outlook.com,+91-8587369478,2025-08-09,,5734,Store Manager
7699,Anika,Sharma,anika.sharma@gmail.com,+91-7492739424,2019-09-15,,8000,Inventory Executive
1853,Sai,Das,sai.das@gmail.com,+91-7993834799,2025-04-04,,9628,Assistant Manager
5482,Anika,Reddy,anika.reddy@outlook.com,+91-6999006158,2025-01-13,,8793,Store Manager
7828,Aadhya,Gupta,aadhya.gupta@yahoo.in,+91-9363444136,2018-07-01,2023-10-12,20996,Customer Support
9422,Kiara,Shetty,kiara.shetty@croma.in,+91-7206719548,2022-06-27,,7127,Visual Merchandiser
8223,Vivaan,Khan,vivaan.khan@gmail.com,+91-7839860875,2019-07-29,,13562,Assistant Manager
10420,Sara,Gowda,sara.gowda@croma.in,+91-8916964123,2021-05-15,,6315,Assistant Manager
10425,Aisha,Gupta,aisha.gupta@outlook.com,+91-9593261142,2025-07-18,2025-07-22,19655,Cashier
